Station full name,Abbreviation,State,Country,Latitude,Longitude,Elevation,Time period,Network,Owner,Comment,URL,Data availability,Tier,Instrument,Components
Tri An,VN_Solar_VNTRA_EVN,,Vietnam,11.1024,107.0378,57,2017-,ESMAP,Suntrace GmbH,,https://energydata.info/dataset/vietnam-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Chilanga,ZMB_Solar_Lusaka_Chilanga,,Zambia,-15.54831,28.24822,1224,2015-2018,ESMAP,SGS Inspection Services,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,Freely,2,Thermopile,G
Choma,ZMB_Solar_Choma_Mochipapa,,Zambia,-16.83822,27.07046,1282,2015-2019,ESMAP,SGS Inspection Services,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,Freely,2,Thermopile,G
Kaoma,ZMB_Solar_Kaoma_Longe,,Zambia,-14.83966,24.93186,1167,2015-2020,ESMAP,SGS Inspection Services,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,Freely,2,Thermopile,G
Kasama,ZMB_Solar_Kasama_Misamfu,,Zambia,-10.17165,31.22558,1379,2015-2021,ESMAP,SGS Inspection Services,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,Freely,2,Thermopile,G
Lusaka,ZMB_Solar_Lusaka_UNZA,,Zambia,-15.39465,28.33711,1262,2015-2017,ESMAP,SGS Inspection Services,,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,Freely,1,Thermopile,G;B;D
Mutanda,ZMB_Solar_Solwezi_Mutanda,,Zambia,-12.4236,26.2153,1317,2015-2022,ESMAP,SGS Inspection Services,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,Freely,2,Thermopile,G
Fig Tree,ZM_Solar_FigTree_IFC,,Zambia,-15.001425,28.549047,1143,2018-2018,IFC,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data,Freely,2,Thermopile,G
Mumbwa,ZM_Solar_Mumbwa_IFC,,Zambia,-15.085303,27.0015525,1103,2018-2019,IFC,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data,Freely,2,Thermopile,G
Ndeke,ZM_Solar_Ndeke_IFC,,Zambia,-12.577451,28.292946,1287,2018-2020,IFC,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/zambia-solar-radiation-measurement-data,Freely,2,Thermopile,G
